,artistas,cancion_id,emocion,imagen,preview_url,titulo
0,['Lost Frequencies'],1cm7v7dBQDjewVTYlqjUX6,Calmado,https://i.scdn.co/image/3007e32944bd5b116f40558cb7b79ad56ed6bbdc,https://p.scdn.co/mp3-preview/f3a297c76ca9ca0e5b5eabe08f4f7a4c34f770e1?cid=8ef0ee1341c140f2bfebf028664b280d,Are You With Me - Radio Edit
1,['Tiziano Ferro'],0oploGvbQROqYuYJUsS48k,Alegre,https://i.scdn.co/image/ef93e640c0a6139a054f5b85bb2afbe0c6ac4ed5,https://p.scdn.co/mp3-preview/b2850e9f9590b1f6a0bc6042547df0373356aa2b?cid=8ef0ee1341c140f2bfebf028664b280d,Il Mestiere Della Vita
2,['The Killers'],15okJ22zpwpw5MU2Nn3BSI,Aburrido,https://i.scdn.co/image/05a033fd0abe660d600f5c431605435339241e31,https://p.scdn.co/mp3-preview/a760fa269f1825ec7ddf96f4dc6820d923792f57?cid=8ef0ee1341c140f2bfebf028664b280d,Romeo And Juliet
3,['LCD Soundsystem'],25SQI7rcz4fcSJpQg5Ut8J,Relajado,https://i.scdn.co/image/22e70bd5f39ae20aad4422637337cc86d8027409,https://p.scdn.co/mp3-preview/c15adfdeb9c3a5a1829bbe67213f031f0c8e2755?cid=8ef0ee1341c140f2bfebf028664b280d,I Can Change
4,['Love of Lesbian'],1KhqSLS8YafrUCbjrn8WxZ,Exaltado,https://i.scdn.co/image/bba41e8318141c83b66d9f92eb950b4586858807,https://p.scdn.co/mp3-preview/958a63d13de2171fc3ea23e080b99e6619c4a595?cid=8ef0ee1341c140f2bfebf028664b280d,Club de fans de John Boy
5,['Bad Bunny'],3ITvHA9zhZZdBJsOsAUegF,Aburrido,https://i.scdn.co/image/90dff29ed56dcc63e9245e3e7fd4f87527b1fa5b,https://p.scdn.co/mp3-preview/c84968a26fb4d8d925dc8ecef4e07a1b9eb422b4?cid=8ef0ee1341c140f2bfebf028664b280d,Amorfoda
6,['Kendrick Lamar'],1zayuwd1YLZsYDArkruHdL,Deprimido,https://i.scdn.co/image/9a9779b2454c358d10cc9942333861cef14093f8,https://p.scdn.co/mp3-preview/4ddd65645159107e3335b40c828d25742b162aa4?cid=8ef0ee1341c140f2bfebf028664b280d,The Heart Part 4
7,['Víctor Manuelle'],6QgHntetEjVQV3I9jhOkMT,Exaltado,https://i.scdn.co/image/aa68ef3da69dcbe8ee5079cbc902dcb918b09f52,https://p.scdn.co/mp3-preview/5e3db204bfc3e884d2f26b5ae9e8b158ec98a565?cid=8ef0ee1341c140f2bfebf028664b280d,Dile a Ella
8,['Creedence Clearwater Revival'],2LawezPeJhN4AWuSB0GtAU,Relajado,https://i.scdn.co/image/5cd8a1457a89eaa4bad2fa5a537ff787cf9537f7,https://p.scdn.co/mp3-preview/1984a2d0c5a32e8ddc3545146e0a44c5c3bc1aad?cid=8ef0ee1341c140f2bfebf028664b280d,Have You Ever Seen The Rain?
9,['Foo Fighters'],5UWwZ5lm5PKu6eKsHAGxOk,Exaltado,https://i.scdn.co/image/82ea041a0c8761445299da55e506995ca1697c29,https://p.scdn.co/mp3-preview/4a2dc307a71393a695d69b16407cd73e1e234941?cid=8ef0ee1341c140f2bfebf028664b280d,Everlong
10,['Kasabian'],7K2vo9oSUzFgmtIXNYegzP,Relajado,https://i.scdn.co/image/52d97461af9995b66592b6b47570153aa82b2904,https://p.scdn.co/mp3-preview/8a2bd0792cf66c58a2a84b52ec91db3757f66009?cid=8ef0ee1341c140f2bfebf028664b280d,Fire
11,['Of Monsters and Men'],51gJTJ1l7OCWHjGvfiZ177,Exaltado,https://i.scdn.co/image/e02d46c9be99e085857544524e8bb955b756bff7,https://p.scdn.co/mp3-preview/28e9d2fc4826c450c0c6b9cb6e194752f7617d0b?cid=8ef0ee1341c140f2bfebf028664b280d,Crystals
12,"['Eminem', 'Ed Sheeran']",5UEnHoDYpsxlfzWLZIc7LD,Exaltado,https://i.scdn.co/image/48cde6a9fc699ddaa963e726af905a6a5dea3d7f,https://p.scdn.co/mp3-preview/f21962bbc978327c8c64aad5963fde244c0952ef?cid=8ef0ee1341c140f2bfebf028664b280d,River (feat. Ed Sheeran)
13,['Olly Murs'],1dABxUeyaNyq7RbKbT3ndo,Triste,https://i.scdn.co/image/a4566db1878d58f9ff6b3281720fff74a9524002,https://p.scdn.co/mp3-preview/ee4099953e3974b44791168bada325413fcfe17d?cid=8ef0ee1341c140f2bfebf028664b280d,Dear Darlin'
14,"['Miami Horror', 'Sarah Chernoff']",0fFNDoNMqdF49VRCP6reRc,Exaltado,https://i.scdn.co/image/965df83407b013728e1747e7476b2b2d4ccd16fa,https://p.scdn.co/mp3-preview/d43563e145c2b9b00ddb9d5687f44352de9bf9ad?cid=8ef0ee1341c140f2bfebf028664b280d,Real Slow
15,['Logic'],2V1nJCtknnPvSFUJ0a7BUk,Calmado,https://i.scdn.co/image/b5f591a218f574a115e80ac99e930e409fdf4227,https://p.scdn.co/mp3-preview/9ee190867c62eedbd882c817b85b9f96ea785f5f?cid=8ef0ee1341c140f2bfebf028664b280d,44 More
16,['Nudozurdo'],3u92BnF2CoMPdSGZ1vhr3P,Calmado,https://i.scdn.co/image/fb2647a4a319a3361258ef66c296133c98a924d4,https://p.scdn.co/mp3-preview/3b79c025e0cb68b86d3f33127dff3d316e67b167?cid=8ef0ee1341c140f2bfebf028664b280d,Bondage Belcanto
17,['Los Chikos del Maiz'],2vxZQRAOGrYSF6RqorvmLb,Activo,https://i.scdn.co/image/8dc4d425498f93380fbff40c394103e35b8ba0a2,https://p.scdn.co/mp3-preview/16e74a8d13c6dc75cb7a6b51656fd6240130ba9b?cid=8ef0ee1341c140f2bfebf028664b280d,Gente V.I.P.
18,['Caravan Palace'],0OuWBW2Q299zvZCdLUPlLx,Relajado,https://i.scdn.co/image/9c35390fbbb779cdf36fdc7d2030dfe04c4746df,https://p.scdn.co/mp3-preview/a780729ebee945a9325d8c1f8bb8c8c5ec0b5ffe?cid=8ef0ee1341c140f2bfebf028664b280d,Jolie Coquine
19,['The Kooks'],0egYeISQ8ihu7g8ciYPj15,Sereno,https://i.scdn.co/image/cb0ebb9c75a391d6e79f1ad562f1d3b9d7b82a57,https://p.scdn.co/mp3-preview/64fd4625e186287d28c748b0eb64012f9875e0c7?cid=8ef0ee1341c140f2bfebf028664b280d,Gap
20,"['Avicii', 'Rita Ora']",7DoN0sCGIT9IcLrtBDm4f0,Exaltado,https://i.scdn.co/image/ba2fd8823d42802c2f8738db0b33a4597f2f39e7,https://p.scdn.co/mp3-preview/fb71777b28369ccf959ba51273f8d60535abbffd?cid=8ef0ee1341c140f2bfebf028664b280d,Lonely Together (feat. Rita Ora)
21,"['Los Planetas', 'La Bien Querida']",1zoTBU11AweMzc97L4D465,Excitado,https://i.scdn.co/image/4fdfee4fbb1251723362c63bad856114c7b0633d,https://p.scdn.co/mp3-preview/6178a4674a33f1c074015eb6ea5b707946121568?cid=8ef0ee1341c140f2bfebf028664b280d,Espíritu Olímpico
22,"['IAmChino', 'Pitbull', 'Yandel', 'El Chacal']",6ixvuvnE27lFE2SvCXpWce,Exaltado,https://i.scdn.co/image/320ce7b4f3b1b8ff71697359e8276182b8cc5c0a,https://p.scdn.co/mp3-preview/29ae806b26245359a44c1750dea6aba65fc7d23b?cid=8ef0ee1341c140f2bfebf028664b280d,"Ay MI Dios (feat. Pitbull, Yandel & Chacal)"
23,['The Fratellis'],2NjETNqIXk4JlJFkEDmM5t,Excitado,https://i.scdn.co/image/cdcd1430af92255b1ec032b9909af7e421f28782,https://p.scdn.co/mp3-preview/64d887a6cf0b65200c5505ce88fc289f61d97213?cid=8ef0ee1341c140f2bfebf028664b280d,Ole Black 'n' Blue Eyes
24,"['Sebastian Yatra', 'Dalmata']",5TmZYdHW6HJ9gt7Aokuql5,Activo,https://i.scdn.co/image/b1ef977b4ae337c3940f7c9b1f5c3fedb653f72c,https://p.scdn.co/mp3-preview/9aeba0254076b7adfc500d24bf4471d8d19e1a4a?cid=8ef0ee1341c140f2bfebf028664b280d,SUTRA
25,"['Piso 21', 'Manuel Turizo']",33bnxcjePIkcmNjEFTJX0l,Activo,https://i.scdn.co/image/1f553c4eda0e304b4c7c6f3b2646286cf258dc87,https://p.scdn.co/mp3-preview/9b642262186bab04cb69e312bfb105c035ae0120?cid=8ef0ee1341c140f2bfebf028664b280d,Déjala Que Vuelva (feat. Manuel Turizo)
